id,name,address
633, Sūnu pamatskola," Skolas iela 1, Kūkas, Kūku pagasts, Jēkabpils novads"
493, Talsu 2. vidusskola," Kārļa Mīlenbaha iela 32, Talsi, Talsu novads"
496, Talsu Valsts ģimnāzija," Brīvības iela 29, Talsi, Talsu novads"
986," Talsu novada pašvaldības iestāde pansionāts ""Lauciene"""," Pansionāts, Lauciene, Laucienes pagasts, Talsu novads"
495, Talsu novada vidusskola," Kārļa Mīlenbaha iela 30, Talsi, Talsu novads"
494, Talsu pamatskola," Gaismas iela 1, Talsi, Talsu novads"
131, Taurupes pamatskola,"  “Jaunā skola”, Līčupe, Mazozolu pagasts, Ogres novads"
132, Taurupes pamatskola," Vidusskola, Taurupes pagasts, Ogres novads"
129, Taurupes pamatskola," “Meņģeles Pamatskola”, Meņģele, Meņģeles pagasts, Ogres novads"
569, Teteles pamatskola," Skolas iela 10, Tetele, Cenu pagasts, Jelgavas novads"
321, Tilžas vidusskola," Raiņa iela 15, Tilža, Tilžas pagasts, Balvu novads"
335, Tirzas pamatskola," Tirzas pamatskola, Tirza, Tirzas pagasts, Gulbenes novads"
780, Tiskādu vidusskola," Parka iela 4, Vecružina, Silmalas pagasts, Rēzeknes novads"
518, Trapenes sākumskola," ""Skola"", Trapene, Trapenes pagasts, Smiltenes novads"
551, Trikātas pamatskola," ""Gaismaskalns"", Trikātas pagasts, Valmieras novads"
468, Tukuma 2. vidusskola," Raudas iela 16, Tukums, Tukuma novads"
347, Tukuma 3. pamatskola," Lielā iela 18, Tukums, Tukuma novads"
348, Tukuma E. Birznieka-Upīša 1. pamatskola," Lielā iela 9, Tukums, Tukuma novads"
467, Tukuma Raiņa Valsts ģimnāzija," J.Raiņa iela 3, Tukums, Tukuma novads"
313, Tukuma novada speciālās izglītības iestāde," ""Lamiņu Muiža"", Lamiņi, Pūres pagasts, Tukuma novads"
315, Tukuma novada speciālās izglītības iestāde," Raudas iela 6, Tukums, Tukuma novads"
277, Tumes pamatskola," ""Tumes"", Tume, Tumes pagasts, Tukuma novads"
254, Turlavas pamatskola," Turlava, Turlavas pagasts, Kuldīgas novads"
454, Tārgales pamatskola," ""Tārgales skola"", Tārgale, Tārgales pagasts, Ventspils novads"
537, Tīnūžu sākumskola," “Kalnliepas”, Tīnūži, Tīnūžu pagasts, Ogres novads"
452, Ugāles vidusskola," Skolas iela 5A, Ugāle, Ugāles pagasts, Ventspils novads"
317, Ulbrokas vidusskola," ""Ulbrokas vidusskola"", Vālodzes, Stopiņu pagasts, Ropažu novads"
303, Umurgas pamatskola," Skolas iela 3, Umurga, Umurgas pagasts, Limbažu novads"
509, Upesgrīvas pamatskola," Ozolu iela 2, Pastende, Talsu novads"
502, Upesgrīvas pamatskola," Upesgrīvas Skola, Uguņciems, Vandzenes pagasts, Talsu novads"
620, Upesleju sākumskola," Skolas Iela 12, Upeslejas,	Ropažu novads"
